Episode,Reward,Steps,Loss,Avg_Q,Epsilon,Success,Collision,Termination,Obstacle_Count
216,-10.0,11,11.0474214553833,13.570108413696289,0.5241541600479452,0,1,Collision,8
217,78.0,46,9.826139450073242,12.049460411071777,0.5225816975678014,1,0,Success,8
218,-21.0,25,15.874913215637207,-1.9914779663085938,0.521013952475098,0,1,Collision,8
219,-18.0,21,27.823720932006836,-1.210951805114746,0.5194509106176727,0,1,Collision,8
220,-10.0,40,21.373022079467773,8.743969917297363,0.5178925578858197,0,1,Collision,8
221,0.0,25,13.245710372924805,5.308499336242676,0.5163388802121622,0,1,Collision,8
222,66.0,29,4.330386161804199,11.550273895263672,0.5147898635715258,1,0,Success,8
223,-19.0,26,6.751669883728027,4.7176971435546875,0.5132454939808112,0,1,Collision,8
224,-16.0,16,5.307995796203613,12.651823043823242,0.5117057574988688,0,1,Collision,8
225,-12.0,15,15.463197708129883,9.464998245239258,0.5101706402263723,0,1,Collision,8
226,73.0,25,11.52398681640625,14.94268798828125,0.5086401283056932,1,0,Success,8
227,-15.0,20,19.273040771484375,13.024320602416992,0.5071142079207761,0,1,Collision,8
228,-16.0,29,36.83723831176758,13.3377103805542,0.5055928652970137,0,1,Collision,8
229,-12.0,11,10.381027221679688,12.414955139160156,0.5040760867011227,0,1,Collision,8
230,-21.0,24,7.076765537261963,6.896387100219727,0.5025638584410194,0,1,Collision,8
231,-14.0,17,28.25437355041504,13.414539337158203,0.5010561668656963,0,1,Collision,8
232,-14.0,17,17.925411224365234,13.170270919799805,0.49955299836509925,0,1,Collision,8
233,68.0,28,10.562192916870117,13.358501434326172,0.49805433937000393,1,0,Success,8
234,-14.0,15,35.204986572265625,12.394390106201172,0.4965601763518939,0,1,Collision,8
235,-15.0,7,14.75356388092041,12.3496732711792,0.49507049582283824,0,1,Collision,8
236,0.0,33,5.353113174438477,12.999285697937012,0.49358528433536975,0,1,Collision,8
237,-14.0,20,22.911392211914062,13.495773315429688,0.49210452848236363,0,1,Collision,8
238,-11.0,17,5.217859745025635,11.969139099121094,0.49062821489691655,0,1,Collision,8
239,-9.0,44,3.7344863414764404,0.922236442565918,0.4891563302522258,0,1,Collision,8
240,-14.0,10,25.54037094116211,13.326560020446777,0.48768886126146915,0,1,Collision,8
241,-15.0,17,31.71272087097168,13.218482971191406,0.48622579467768473,0,1,Collision,8
242,-3.0,24,23.375762939453125,3.6156325340270996,0.4847671172936517,0,1,Collision,8
243,-16.0,20,16.619524002075195,0.3321940302848816,0.4833128159417707,0,1,Collision,8
244,57.0,69,15.466089248657227,14.622577667236328,0.4818628774939454,1,0,Success,8
245,-16.0,20,16.474178314208984,6.199480056762695,0.48041728886146357,0,1,Collision,8
246,-9.0,23,56.659996032714844,13.414934158325195,0.4789760369948792,0,1,Collision,8
247,-19.0,19,15.47308349609375,15.213293075561523,0.47753910888389456,0,1,Collision,8
248,-20.0,21,12.81059741973877,8.771560668945312,0.4761064915572429,0,1,Collision,8
249,-13.0,19,5.281421184539795,12.026336669921875,0.4746781720825711,0,1,Collision,8
250,-33.0,35,28.396442413330078,14.515670776367188,0.4732541375663234,0,1,Collision,8
251,-9.0,21,20.327245712280273,14.954646110534668,0.4718343751536244,0,1,Collision,8
252,-13.0,21,6.607752323150635,9.889105796813965,0.47041887202816357,0,1,Collision,8
253,-17.0,16,5.238245964050293,13.177766799926758,0.4690076154120791,0,1,Collision,8
254,-2.0,42,12.632768630981445,15.66207504272461,0.46760059256584285,0,1,Collision,8
255,-14.0,5,9.791352272033691,16.072927474975586,0.4661977907881453,0,1,Collision,8
256,-10.0,9,9.47160530090332,14.172870635986328,0.4647991974157809,0,1,Collision,8
257,-15.0,11,3.9480550289154053,2.8075509071350098,0.46340479982353355,0,1,Collision,8
258,-16.0,19,1.9874677658081055,8.944463729858398,0.46201458542406293,0,1,Collision,8
259,78.0,27,5.405371189117432,16.226154327392578,0.4606285416677907,1,0,Success,8
260,-15.0,8,6.938815116882324,-2.091398239135742,0.45924665604278736,0,1,Collision,8
261,-12.0,11,17.935972213745117,11.401884078979492,0.457868916074659,0,1,Collision,8
262,-14.0,10,28.948915481567383,14.431169509887695,0.45649530932643506,0,1,Collision,8
263,60.0,50,11.410687446594238,15.811059951782227,0.45512582339845575,1,0,Success,8
264,-16.0,21,6.000670909881592,1.0918172597885132,0.45376044592826037,0,1,Collision,8
265,68.0,41,26.657670974731445,17.449827194213867,0.4523991645904756,1,0,Success,8
